formula,spacegroup
Li2FePCO7,0
Fe5Sb(PO4)6,144
Pm2NiRu,219
MgH12(BrO6)2,202
CaTlCl3,7
Na4TiSi3GeO12,141
Nd6Ni2Sn,70
BaCl2,61
Mg2SiNi3,164
BaTeF6,42
LuAg(WO4)2,11
Rb4Zr6CCl18,11
Li2MoO4,143
UNiSn,11
CeDy3,137
Ca2MgWO6,13
Zn2BrN,32
BaBe2(PO4)2,162
Ca2LaGaCu2O7,45
Li2MnV3O8,18
ThB4Mo,64
NaHf2Mg2PS5O24,0
NaMn8O16,58
Na3CuPCO7,3
TaPbS2,191
CsK3,137
MnFe2Ag2(PO4)3,14
Ba3(LiSb)4,70
Na2BSbSO7,10
K14W6N17,56
FeOF,5
SrLiTi3Cr2O11,61
VAgO3,7
Li3CrFe3O8,183
Li9Mn2Co5O16,4
SrNdNiO4,62
Ba10Ge7O3,184
NaCd(RhO2)4,10
Cs11Rb7O3,18
Sr2In3Rh2,11
LiVFeP2(HO5)2,0
K4Nb6O17,32
Mg2Mn3CoS8,164
MoSe2,184
NaCaGe3P3(SO8)3,0
ReBMo,68
Ba2InOsO6,219
Na10YNb7(SiO4)12,0
Li4Mn3NiO8,11
Li3V3FeO8,11
HfPbS3,61
LiBi3(P3O10)2,19
Ba3Fe3O8,62
PrCuSi,191
Ca4SeN4,61
Ce2Mg,62
Li3MnFeCo(PO4)3,5
Li3Mn4O8,11
Ti2ReRh,219
Li4Mn3V2Sb3O16,7
AsXe2BrOF12,13
CsMn(PO3)6,1
LiBiTe2,121
SrCa3Zr16(PO4)24,1
Dy3Fe5O12,224
Pr2In3Cu,154
Rb2U(MoO5)2,13
Rb2Mn(PO3)4,13
RbSbClF3,60
Sr2TiMoO6,219
FeH12Pt(ClO)6,146
VOF3,1
Na2Al2B2O7,10
Cs2NaNdCl6,219
FeSbAs,30
Na2Y4Ga4SiS11O48,0
Rb3ScCl6,219
CsRb2ErCl6,219
Mg16Al12Cr,158
Li5(NiN)3,186
VWO4,2
MgCu(SiO3)2,60
VO2,86
Na4Hf2In2Si3(SO8)3,0
BaSrEuBiO6,15
Ni12P5,86
NaMgPH18O13,1
Dy3CuSiSe7,170
Sr2TaN3,14
BaLa4Cu5O12,82
Na4MgAl(PO4)3,159
K2PtS15,8
DyBi2ClO4,121
MgCu,215
Li2Cr2SiO6,69
Li2VCr(P2O7)2,0
Li3FeNi3O8,164
Sr3(SnIr)4,211
EuSnHg,183
Zn2AgAu,219
ZrCl3,190
MgHN,172
Na7CaTa3(SiO4)6,141
Li2AgSn,219
MgGa2,11
In2WO6,12
TbB2Ru3,188
GaCuS2,120
Na10Ca6Ti2Si3(S3O16)3,0
SrLiP,191
La2Cu2SeSO2,97
AlP,183
Rb2TlGaF6,219
HoTmMg2,219
YMg2,62
Cr2(Bi2O5)3,36
H7C2SIN4,13
Nb2O5,10
Si7(Ni2Au)2,11
Li8VO6,1
CsKTeH6SO10,6
Ba3Ta2CoO9,162
Hf3B2Ir5,125
